dosis;;muertos;vivos;expuestos;vivos_e;muertos_e
15;1.176091259;0;1;1;1;0
16;1.204119983;0;1;1;1;0
17;1.230448921;0;8;8;1;0
18;1.255272505;2;13;15;0.866666667;0.133333333
19;1.278753601;5;13;18;0.722222222;0.277777778
20;1.301029996;8;25;33;0.757575758;0.242424242
21;1.322219295;15;11;26;0.423076923;0.576923077
22;1.342422681;4;8;12;0.666666667;0.333333333
23;1.361727836;12;6;18;0.333333333;0.666666667
24;1.380211242;6;1;7;0.142857143;0.857142857
25;1.397940009;11;1;12;0.083333333;0.916666667
26;1.414973348;1;1;2;0.5;0.5
27;1.431363764;6;1;7;0.142857143;0.857142857
28;1.447158031;4;0;4;0;1
